index,id,text,text_swap_words,text_remove_spacing,text_letter_to_symbol,text_swap_letters,text_insert_punctuation,text_insert_duplicate_characters,text_delete_characters,text_change_case
10,1488300933138296835,"Seen offers for my #3071 TTHUG IT IS NOT FOR SALE #holderforlife
Instead buy some cool ol merch (coming soon) let me take you to the metaverse baby!!
@TThugsNFT 🅿️
#Trillionairethugs #Decentraland #Metaverse #freeworld #technology @elonmusk 🐐 join",Seen offers for my #3071 TTHUG IT IS NOT FOR SALE #holderforlife Instead buy some cool ol (coming merch soon) let me take you to the metaverse baby!! @TThugsNFT 🅿️ #Trillionairethugs #Decentraland #Metaverse #freeworld #technology @elonmusk 🐐 join,"Seen-offers`for my #3071 TTHUG IT,IS NOT`FOR SALE #holderforlife
Instead`buy some cool*ol-merch,(coming*soon)`let me`take you*to`the metaverse baby!!
@TThugsNFT-🅿️
#Trillionairethugs.#Decentraland #Metaverse #freeworld`#technology @elonmusk 🐐.join",Seen off{rs for my 3071 TTHUG i7 IS NOT F0R SALE #holderforlife Instead 6uy some cool ol merch (coming soon) let me take you to the metaverse baby!! @TThugsNFT 🅿️ #Trillionairethugs 7rI!1!onalr{thuG$ #Metaverse MEt@vEr5e #technology @elonmusk 🐐 join,Seen oferfs for my #3071 TTHUG IT IS NOT FOR SALE holdferorlife Instead buy some cool ol merch cmonig soon) let me take you to the metaverse baby!! @TThugsNFT 🅿️ #Trillionairethugs #Decentraland #Metaverse #freeworld #technology @elonmusk 🐐 join,"Seen off]{ers for my #3071 ]TT!HUG IT '""IS NO!.T FOR SALE #holderforlife Instead buy some cool ol merch (coming soon) let me take you to the metaverse baby!! @TThugsNFT 🅿️ 🅿(@️ #Decentraland #Metaverse #freeworld #technology @elonmusk 🐐 join",Seen offeerss for my #3071 TTHUG IT IIIS NOT FOR SALLEE #holderforlife Instead bbuuy some ccooll olll mercchh coomingg soon) let me take you to the metaaaverse baby!! @TThugsNFT 🅿️ #Trillionairethugs #Decentraland #Metaverse Meetavverse #technology @elonmusk 🐐 join,Seen ofes for my #3071 TTHUG IT IS NOT FOR SALE #holderforlife Instead buy some col ol mech cmng soon) let me take you to the metaverse bay @TThugsNFT 🅿️ #Trillionairethugs #Decentraland #Metaverse #freeworld #technology @elonmusk 🐐 join,Seen OffERS for my 3071 TTHUG IT is NOT fOr SALe #holderforlife Instead buy some cool ol merch (coming soon) let me take you to the metaverse baby!! @TThugsNFT 🅿️ #Trillionairethugs #Decentraland #Metaverse MEtaVERSe #technology @elonmusk 🐐 join
11,1488300932811141122,"Tech recruiters be like

""hiring a full-stack developer that can connect CSS to a Database""

#100DaysOfCode #CodeNewbies","Tech recruiters be like ""hiring full-stack a developer that can connect CSS to a Database"" #100DaysOfCode #CodeNewbies","Tech-recruiters`be like

""hiring a full-stack developer,that can`connect CSS to`a Database""

#100DaysOfCode #CodeNewbies","Tech re[ruItEr$ be like ""hiring a full-stack d{veLOp{r that can connect CSS to a D@T@ba${ 100DAySO4(Od{ #CodeNewbies","Tech recriutres be like ""hiring a fluls-tack developer that can connect CSS to a Database"" #100DaysOfCode CodeNebwies","Tech recruit]{ers be like ]hi!ring a full-stack dev'e""loper that can conne!.ct CSS to a Database"" #100DaysOfCode #CodeNewbies","Tech recruiteeers be like ""hiring a ffull-staack developer that can connect CSS to a Database"" #100DaysOfCode CodeeNewbiies","Tech recruits be like ""hiring a full-stack dveoper that can connect CSS to a Datase #100DaysOfCode CoeNebies","Tech REcRUiTERS be like ""hiring a full-stack developer that can connect CSs to a Database"" #100DaysOfCode CodeNewbieS"
12,1488300928964997122,"really random take of the day:
iphone &gt; android
pc &gt; macbook",really random take of the iphone day: &gt; android pc &gt; macbook,"really-random`take of the day:
iphone &gt;,android
pc &gt;`macbook",really random tak{ of the day: |phon{ &gt; android pc p( macbook,really random tkae of the day: iphone &gt; gt pc &gt; macbook,really random tak]{e of the day: ]ip!hone &gt; android a?ndroi/d !.pc macbook,really random takeee of the day: iphone &gt; ggtt pc &gt; macbook,really random tae of the day: iphone &gt; android adrid &gt; macbook,really random TAKE of the dAy iphone &gt; android ANDroId &gt; macbook
13,1488300923973783556,I want to like it a second chance til next couple of my CPU blocks it,I want to like it second a chance til next couple of my CPU blocks it,"I-want`to like it a second,chance til`next couple of`my CPU blocks*it",I want to I|k{ it a second [han<E til n{xt C0up!E of my CPU blocks it,I want to lkie it a second chance til next couple of my CPU blocks it,"I want to lik]{e it a second ]ch!ance til n'""ext cou.pl!e of my CPU blocks it",I want to likeee it a second chance ttiil next couple of my CPU blocks it,I want to lie it a second chance til net cope of my CPU blocks it,I want to LIKE it a secOnd chance til NEXT couple of my CPu blocks it
14,1488300921499095047,i love when my little sister randomly facetime’s me 🥺,i love when little my sister randomly facetime’s me 🥺,"i-love`when my little sister randomly,facetime’s me`🥺",i Iov{ when my little $I$t{r randomly F@CeTIm{ me 🥺,i lvoe when my little sister rnadmoly facetime’s me s,"i lov]{e when my little ]si!ster randomly fac'e""time `]’ 🥺",i loveee when my little sister rrandomlyy facetime’s me 🥺,i loe when my little sister randomly fceime me 🥺,i LOVE when my litTle sister randomly FACETIME ’ 🥺
15,1488300904809963524,my bestie just admitted their love for me on facetime: real,my bestie just admitted their for love me on facetime: real,"my-bestie`just admitted their love for,me on`facetime: real",my bestie just adm|TTed their love for me on facetime: real,my bestie just admitetd their love for me on facetime: rael,my bestie just admitte]{d their love for me on ]facet!ime real,my bestie just admitteddd their love for me on facetime: rreall,my bestie just admitd their love for me on facetime: rel,my bestie just ADMITTED their love for me on facetime: real
16,1488300900233973760,ok so can we all agree that the way they laid out the controls for Arceus is just bunk as all hell? the game is very fun but who laid this mother fucker out??? the pause button isn't on plus??? Why not have crouch on L3 instead of B? why is B only sprint sometimes? It's wild,ok so can we all agree that the way they laid out the controls for Arceus is bunk just as all hell? the game is very fun but who laid this mother fucker out??? the pause button isn't on plus??? Why not have crouch on L3 instead of B? why is B only sprint sometimes? It's wild,"ok-so`can we all agree that,the way`they laid out`the controls for*Arceus-is,just*bunk`as all`hell? the*game`is very fun-but.who laid this`mother fucker out???.the pause button isn't-on plus??? Why not have crouch on-L3 instead of B? why is B`only`sprint sometimes? It's-wild",ok so can we all agr{e that the way they La|d out the controls for Ar(EuS is just 6unk as all hell? the game is very fun but who laid this mother fucker out??? the pause button isn't on plus??? Why not have crouch on L3 !3 of B? 8 is B only sprint sometimes? It's wild,ok so can we all agere that the way they laid out the cnotorls for Arceus is just bnuk as all hell? the gmae is very fun but who laid this mother fucker out??? the puase button isn't on plus??? Why not have crouch on L3 instead of B? why is B only sprint sometimes? It's wild,"ok so can we all agr]{ee that the way they ]la!id out the controls for A'""rceus ]i.s just bunk as all hell? the game is very fun but who laid this mother fucker out??? the pause button isn't on plus??? Why not have crouch on L3 instead of B? (`B is B only sprint sp~rin^t It's wild",ok so can we all agreeee that the way they laid out the ccontrolss for Arceus is just bunk as all hell? the game iiss very fun but who laid this mmotheer fucker out??? the pause button isss on plus??? Why not have haavve on L3 instead of B? why is B only sprint sometimes? It's wild,ok so can we all agee that the way they laid out the controls for Aces is just bunk as all hell? the game is very fun but who laid this mother fcer out??? the paue button isn't on plus??? Why not have crouch croh L3 L3 of B? B is B only sprint spnt It's wild,ok so can we all aGREE that the way they laiD out the controls for Arceus IS just bunk as all HeLL the game IS very fun but who laid this mother fucker out??? the pause button isn't on plus??? Why not have crouch on L3 instead of B? why is B only sprint SPRINT It's wild
17,1488300886589943816,"Know your worth.

#techtwitter #BlackTechTwitter #informationtechnology #softwaredevelopment #SoftwareEngineer #programmer #webdeveloper #CodeNewbie #coder",Know your worth. #techtwitter #BlackTechTwitter #softwaredevelopment #informationtechnology #SoftwareEngineer #programmer #webdeveloper #CodeNewbie #coder,"Know-your`worth.

#techtwitter #BlackTechTwitter #informationtechnology #softwaredevelopment #SoftwareEngineer,#programmer #webdeveloper`#CodeNewbie #coder",Know your wor7h #techtwitter BIa<k7e(h7wlTTEr #informationtechnology #softwaredevelopment $0F7war{EnGineEr #programmer #webdeveloper #CodeNewbie (Od{r,Know your wotrh #techtwitter #BlackTechTwitter ifnormationtehcnology #softwaredevelopment #SoftwareEngineer prorgammer #webdeveloper #CodeNewbie cdoer,"Know your wor]{th #techtwitter ]BlackTechTwi!tter #informationtechnology softwar'ed""evelopment ]Softw`areEngineer #programmer #webdeveloper #CodeNewbie #coder",Know your worttth #techtwitter #BlackTechTwitter iinformationtechnnology #softwaredevelopment #SoftwareEngineer #programmer #webdeveloper #CodeNewbie coodeer,Know your woth #techtwitter #BlackTechTwitter #informationtechnology sftwaredevelopmnt #SoftwareEngineer #programmer #webdeveloper #CodeNewbie #coder,Know your wORTH #techtwitter BlackTechTwiTter #informationtechnology #softwaredevelopment sOfTWAREeNGINEER #programmer #webdeveloper #CodeNewbie #coder
18,1488300886115774464,"1000x  here  for  you.🚀🚀🚀
$ATH
#ATH #AETHER #AETHERV2 #BNB  #BSC #Binance   #Metaverse #NFT #Crypto #Next1000XGems #Bitcoin  #ETH #DeFi",1000x here for you.🚀🚀🚀 $ATH #AETHER #ATH #AETHERV2 #BNB #BSC #Binance #Metaverse #NFT #Crypto #Next1000XGems #Bitcoin #ETH #DeFi,"1000x-`here  for  you.🚀🚀🚀
$ATH
#ATH,#AETHER #AETHERV2`#BNB  #BSC #Binance ` #Metaverse #NFT*#Crypto-#Next1000XGems,#Bitcoin *#ETH`#DeFi",1000x here for you.🚀🚀🚀 atH #ATH A{THER @EtHeRV2 #BNB #BSC #Binance #Metaverse #NFT #Crypto #Next1000XGems #Bitcoin #ETH #DeFi,1000x here for yo.u🚀🚀🚀 $ATH #ATH AEHTER #AETHERV2 #BNB BSC #Binance #Metaverse NFT #Crypto #Next1000XGems Bticoin #ETH #DeFi,"1000x here for you{.🚀🚀]🚀 $ATH ]AT!H #AETHER AET'H""ERV2 BN!.B #BSC #Binance #Metaverse #NFT #Crypto #Next1000XGems #Bitcoin #ETH #DeFi",1000x here for you..🚀🚀🚀🚀 $ATH #ATH AAETHHER #AETHERV2 #BNB #BSC #Binance #Metaverse NNNFT #Crypto NNext1000XGGems #Bitcoin #ETH #DeFi,1000x here for you.🚀 $ATH #ATH ATHR #AETHERV2 #BNB #BSC #Binance #Metaverse NFT #Crypto #Next1000XGems Btoin ETH #DeFi,1000x here for you.🚀🚀🚀 $ATH AtH #AETHER #AETHERV2 bnB #BSC binanCE #Metaverse nFt #Crypto #Next1000XGems #Bitcoin #ETH #DeFi
19,1488300863022002177,"Starting #100Devs, I am excited to finally get out of tutorial hell. Thank you @leonnoel. #womenwhocode #womenintech","Starting #100Devs, I am excited finally to get out of tutorial hell. Thank you @leonnoel. #womenwhocode #womenintech","Starting-#100Devs,`I am excited to finally,get out`of tutorial hell.`Thank you @leonnoel.*#womenwhocode-#womenintech",Starting 100DEv$ I am excited to finally get out of tutorial h{L1 Thank you @leonnoel. #womenwhocode #womenintech,Starting 10D0ves I am excited to finally get out of ttuoiral hell. Tahnk you @leonnoel. leonneol womewnhcoode,"Starting 100{Dev]s I am ]excit!ed to finally get out of tut'o""rial ]`hell Thank you @leonnoel. #womenwhocode #womenintech",Starting 100DDevss I am excited to finally ggeet out of tutorial hell. Thank you @leonnoel. #womenwhocode womeenwhoccode,Starting 100Ds I am excited to finally get out of tutorial hell. Thank you @leonnoel. #womenwhocode #womenintech,Starting 100dEVS I am exciteD to finally get out of tutorial hell. Thank you @ #womenwhocode womenwhocoDe
20,1488300842965139458,"Socializing in Metaverse, Games, Play2earn, Nft, Virtual Reality Cities and Lands. Shopping, Concert, Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in Metaverse, Games, Play2earn, Nft, Virtual Reality Cities Lands. and Shopping, Concert, Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing-in`Metaverse, Games, Play2earn, Nft, Virtual,Reality Cities`and Lands. Shopping,`Concert, Cinema and*Sports.-A,Decentralised*Universe`#VR #metaverse`#bsc #binance*#smartchain`@hollow_ea","Socializing in Met@vEr$E Games, Play2earn, Nft, Virtual Reality c!TlES and |And$ Shopping, Concert, Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in Metaevsre Games, Play2earn, Nft Viratul Reality Ciites and Lands. Sohppnig Concret Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in Metaver]{se Games, ]Play2!earn Nft, V?irtua/l !Reali.ty Cities and Lands. Shopping, Concert, Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in Metaverssse Games, Play2earn, NNfft Virtual Reality Cities and Lands. Shopping, Conccertt Cinema and SSpoorts A Decentrallissed Univversse #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in Metaere Games, Play2earn, Nft Virtual Reality Cities and Lands. Shopping, Concert, Cima and Sports. A Decentralised Uivese VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in mEtAVERSE Games, Play2earn, Nft, Virtual Reality citiEs and Lands. shopping Concert, Cinema and sPoRtS A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea"
21,1488300834538590209,"Socializing in Metaverse, Games, Play2earn, Nft, Virtual Reality Cities and Lands. Shopping, Concert, Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in Metaverse, Games, Play2earn, Nft, Virtual Reality Cities Lands. and Shopping, Concert, Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing-in`Metaverse, Games, Play2earn, Nft, Virtual,Reality Cities`and Lands. Shopping,`Concert, Cinema and*Sports.-A,Decentralised*Universe`#VR #metaverse`#bsc #binance*#smartchain`@hollow_ea","Socializing in Met@vEr$E Games, Play2earn, Nft, Virtual Reality c!TlES and |And$ Shopping, Concert, Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in Metaevsre Games, Play2earn, Nft Viratul Reality Ciites and Lands. Sohppnig Concret Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in Metaver]{se Games, ]Play2!earn Nft, V?irtua/l !Reali.ty Cities and Lands. Shopping, Concert, Cinema and Sports. A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in Metaverssse Games, Play2earn, NNfft Virtual Reality Cities and Lands. Shopping, Conccertt Cinema and SSpoorts A Decentrallissed Univversse #VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in Metaere Games, Play2earn, Nft Virtual Reality Cities and Lands. Shopping, Concert, Cima and Sports. A Decentralised Uivese VR #metaverse #bsc #binance #smartchain @hollow_ea","Socializing in mEtAVERSE Games, Play2earn, Nft, Virtual Reality citiEs and Lands. shopping Concert, Cinema and sPoRtS A Decentralised Universe #VR #metaverse #bsc #binance #smartchain @hollow_ea"
22,1488300829975134209,I wish iPhone never invented a pause n mute button,I wish iPhone invented never a pause n mute button,"I-wish`iPhone never invented a pause,n mute`button",I wish iPhone never |nv{nTEd a pau$e n muTE Bu7Ton,I wish iPhone never invetend a pause n mtue button,"I wish iPhone never invente]{d a pause ]!n mute b'""utton",I wish iPhone never inventeddd a pause n mmutee button,I wish iPhone never invetd a pause n mue butn,I wish iPhone never INVENTED a pause n mute button
23,1488300825818640388,any programmers with knowledge in Python basics,any programmers with in knowledge Python basics,any-programmers`with knowledge in Python basics,any programmers with knowlEdGe in Python basics,any programmers with knowelgde in Python basics,any programmers with knowled]{ge in Python ]ba!sics,any programmers with knowledggge in Python basics,any programmers with knowede in Python basics,any programmers with KNoWLEDGE in Python basics
